eventName,timestamp
LOGIN,1702564386.8527539
ExpStart,1702564414.5501037
ScrollToArticle-1,1702564414.8421783
ScrollToArticle-1,1702564417.1060529
ScrollToArticle-1,1702564417.121999
ScrollToArticle-1,1702564417.1389415
ScrollToArticle-1,1702564417.1568816
ScrollToArticle-1,1702564417.1728282
ScrollToArticle-1,1702564417.1927612
ScrollToArticle-1,1702564417.2057228
ScrollToArticle-1,1702564417.2246542
ScrollToArticle-1,1702564417.2386076
ScrollToArticle-1,1702564417.2565486
ScrollToArticle-1,1702564417.2734952
ScrollToArticle-1,1702564417.2914305
ScrollToArticle-1,1702564417.3043892
ScrollToArticle-1,1702564417.322329
ScrollToArticle-1,1702564417.33628
ScrollToArticle-1,1702564417.3711643
ScrollToArticle-2,1702564417.3791382
Like-2,1702564422.4248216
ScrollToArticle-2,1702564422.933986
ScrollToArticle-2,1702564422.9529257
ScrollToArticle-2,1702564422.968871
ScrollToArticle-2,1702564422.9832406
ScrollToArticle-2,1702564423.000182
ScrollToArticle-2,1702564423.0173008
ScrollToArticle-2,1702564423.0402236
ScrollToArticle-2,1702564423.052185
ScrollToArticle-2,1702564423.0701234
ScrollToArticle-2,1702564423.086071
ScrollToArticle-2,1702564423.1000266
ScrollToArticle-2,1702564423.1170838
ScrollToArticle-2,1702564423.1380088
ScrollToArticle-2,1702564423.1539533
ScrollToArticle-2,1702564423.1699002
ScrollToArticle-3,1702564423.1978161
ScrollToArticle-3,1702564423.2018013
ScrollToArticle-3,1702564423.349393
ScrollToArticle-3,1702564423.375307
ScrollToArticle-3,1702564423.3842747
ScrollToArticle-3,1702564423.4052048
ScrollToArticle-3,1702564423.417164
ScrollToArticle-3,1702564423.4331121
ScrollToArticle-3,1702564423.4510536
ScrollToArticle-3,1702564423.4729774
ScrollToArticle-3,1702564423.4839425
ScrollToArticle-3,1702564423.503875
ScrollToArticle-3,1702564423.5188284
ScrollToArticle-3,1702564423.5327766
ScrollToArticle-3,1702564423.5507169
ScrollToArticle-3,1702564423.5666654
ScrollToArticle-3,1702564423.5915806
ScrollToArticle-4,1702564423.6035397
ScrollToArticle-4,1702564423.620484
ScrollToArticle-4,1702564423.8327131
ScrollToArticle-4,1702564423.8497987
ScrollToArticle-4,1702564423.8689878
ScrollToArticle-4,1702564423.8829405
ScrollToArticle-4,1702564423.9038675
ScrollToArticle-4,1702564423.9188237
