eventName,timestamp
LOGIN,1702564579.6030684
ExpStart,1702564640.2485206
ScrollToArticle-1,1702564640.344968
ScrollToArticle-1,1702564666.100486
ScrollToArticle-1,1702564666.120419
ScrollToArticle-1,1702564666.1363668
ScrollToArticle-1,1702564666.154307
ScrollToArticle-1,1702564666.1692579
ScrollToArticle-1,1702564666.184207
ScrollToArticle-1,1702564666.2021456
ScrollToArticle-1,1702564666.217098
ScrollToArticle-1,1702564666.2360313
ScrollToArticle-0,1702564666.2529747
ScrollToArticle-1,1702564666.285871
ScrollToArticle-1,1702564666.3048012
ScrollToArticle-1,1702564666.3177586
ScrollToArticle-1,1702564666.4014769
ScrollToArticle-1,1702564666.4353635
ScrollToArticle-0,1702564666.4533029
ScrollToArticle-1,1702564666.5190973
ScrollToArticle-1,1702564666.5330482
ScrollToArticle-1,1702564666.5509868
ScrollToArticle-1,1702564666.5729158
ScrollToArticle-1,1702564666.5868669
ScrollToArticle-1,1702564666.604809
ScrollToArticle-1,1702564666.6197567
ScrollToArticle-1,1702564666.634706
ScrollToArticle-1,1702564666.6506531
ScrollToArticle-1,1702564666.6735759
ScrollToArticle-1,1702564666.6875298
ScrollToArticle-1,1702564666.7034752
ScrollToArticle-1,1702564666.721424
ScrollToArticle-1,1702564666.736368
ScrollToArticle-1,1702564666.752312
ScrollToArticle-1,1702564666.768259
ScrollToArticle-1,1702564666.7881944
ScrollToArticle-1,1702564666.801149
ScrollToArticle-1,1702564666.8200846
ScrollToArticle-1,1702564666.8430073
ScrollToArticle-1,1702564666.8509824
ScrollToArticle-1,1702564666.8694608
ScrollToArticle-1,1702564666.8883972
ScrollToArticle-1,1702564666.9083276
ScrollToArticle-1,1702564666.919292
ScrollToArticle-1,1702564666.934256
ScrollToArticle-1,1702564666.9511843
ScrollToArticle-1,1702564666.9671319
ScrollToArticle-1,1702564666.9840746
ScrollToArticle-1,1702564667.015967
ScrollToArticle-1,1702564667.0349045
ScrollToArticle-1,1702564667.0568302
ScrollToArticle-1,1702564667.069788
ScrollToArticle-2,1702564667.0847363
ScrollToArticle-2,1702564667.1056666
ScrollToArticle-2,1702564668.426925
ScrollToArticle-2,1702564668.4329047
ScrollToArticle-2,1702564668.451841
ScrollToArticle-2,1702564668.4677885
ScrollToArticle-1,1702564668.485728
ScrollToArticle-1,1702564668.4996822
ScrollToArticle-1,1702564668.5166235
ScrollToArticle-1,1702564668.5435479
ScrollToArticle-1,1702564668.5515223
ScrollToArticle-1,1702564668.5674684
ScrollToArticle-1,1702564668.5854084
ScrollToArticle-1,1702564668.6023512
ScrollToArticle-1,1702564668.6182976
ScrollToArticle-1,1702564668.6481993
ScrollToArticle-1,1702564668.6531806
ScrollToArticle-1,1702564668.6681306
ScrollToArticle-1,1702564668.6880634
ScrollToArticle-1,1702564668.702017
ScrollToArticle-1,1702564668.7179625
ScrollToArticle-1,1702564668.732914
ScrollToArticle-1,1702564668.7528462
ScrollToArticle-1,1702564668.7677968
ScrollToArticle-1,1702564668.78527
